status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1424,unknown/ no savings account,... >= 7 years,3,female : divorced/separated/married,none,4,real estate,55,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,15,delay in paying off in the past,repairs,1512,... >= 1000 DM,1 <= ... < 4 years,3,male : married/widowed,none,3,building society savings agreement/ life insurance,61,stores,own,2,skilled employee / official,1,none,yes,bad
no checking account,36,critical account/ other credits existing (not at this bank),car (used),11054,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
no checking account,6,existing credits paid back duly till now,radio/television,518,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee / official,1,none,yes,good
no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,none,yes,good
no checking account,24,existing credits paid back duly till now,car (used),2670,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... < 0 DM,24,existing credits paid back duly till now,car (new),4817,... < 100 DM,4 <= ... < 7 years,2,male : single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
no checking account,24,existing credits paid back duly till now,car (used),2679,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,good
... < 0 DM,12,existing credits paid back duly till now,car (used),3386,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,6,existing credits paid back duly till now,domestic appliances,343,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,good
no checking account,18,existing credits paid back duly till now,radio/television,4594,... < 100 DM,... < 1 year,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,... < 100 DM,1 <= ... < 4 years,1,male : single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,2,none,yes,good
... < 0 DM,15,existing credits paid back duly till now,car (new),1721,... < 100 DM,... < 1 year,2,male : single,none,3,real estate,36,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,real estate,34,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,none,yes,good
no checking account,18,existing credits paid back duly till now,business,1950,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",34,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,24,existing credits paid back duly till now,car (used),2924,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
... < 0 DM,24,delay in paying off in the past,radio/television,1659,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",29,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,... >= 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",32,bank,own,2,skilled employee / official,2,none,yes,good
no checking account,33,delay in paying off in the past,business,2764,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,24,delay in paying off in the past,car (used),4679,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3092,100 <= ... < 500 DM,... < 1 year,3,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,6,existing credits paid back duly till now,education,448,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,bad
... < 0 DM,9,existing credits paid back duly till now,car (new),654,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",28,none,own,1,unskilled - resident,1,none,yes,bad
no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",33,none,own,1,skilled employee / official,1,none,yes,bad
... < 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,none,yes,bad
no checking account,39,existing credits paid back duly till now,car (used),2569,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,5152,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",25,bank,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes,good
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,23,none,own,1,unskilled - resident,1,none,yes,good
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,... < 100 DM,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,good
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,15,delay in paying off in the past,furniture/equipment,960,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,good
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,44,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,... < 100 DM,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
no checking account,12,existing credits paid back duly till now,radio/television,3077,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,24,existing credits paid back duly till now,car (new),3757,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,62,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,10,existing credits paid back duly till now,car (new),1418,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,35,none,rent,1,unskilled - resident,1,none,no,good
no checking account,6,existing credits paid back duly till now,car (new),3518,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,none,yes,good
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,... < 100 DM,... >= 7 years,2,male : single,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,27,no credits taken/ all credits paid back duly,business,8318,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,none,yes,good
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,39,none,rent,2,unskilled - resident,2,none,no,good
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",20,none,own,1,skilled employee / official,1,none,yes,bad
0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... < 500 DM,... < 1 year,4,male : single,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1301,... < 100 DM,... >= 7 years,4,male : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1323,100 <= ... < 500 DM,... >= 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
... < 0 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,bad
... < 0 DM,36,existing credits paid back duly till now,car (used),5493,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1126,100 <= ... < 500 DM,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,49,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes,bad
... < 0 DM,24,existing credits paid back duly till now,car (new),1207,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,bad
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,bad
... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... < 500 DM,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,bad
no checking account,24,existing credits paid back duly till now,radio/television,1413,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,good
no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... < 0 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,bad
no checking account,36,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,2687,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes,good
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes,good
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,no,good
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,... < 100 DM,... < 1 year,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,good
no checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,7127,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,good
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes,good
... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,bad
... < 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,bad
no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,good
0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,2,skilled employee / official,1,none,yes,good
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",31,none,own,1,skilled employee / official,1,none,yes,good
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,good
... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",31,none,rent,1,skilled employee / official,1,none,yes,bad
... < 0 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",32,none,own,2,skilled employee / official,2,none,yes,good
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes,good
no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,... < 1 year,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",25,none,own,2,skilled employee / official,1,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),education,2319,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",33,none,rent,1,skilled employee / official,1,none,yes,bad
... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... < 100 DM,... < 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,bad
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,bad
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,bad
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,good
... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,bad
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",32,bank,own,1,skilled employee / official,2,none,yes,good
... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,bad
no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,good
no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes,good
... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,9,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,stores,own,1,skilled employee / official,1,none,yes,bad
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",28,none,own,2,skilled employee / official,1,none,yes,bad
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,bank,own,1,skilled employee / official,1,none,yes,bad
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,bad
... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",24,bank,rent,1,unskilled - resident,1,none,yes,bad
... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",36,none,own,1,skilled employee / official,1,none,yes,bad
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",38,none,own,1,skilled employee / official,1,none,yes,good
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,good
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,own,2,unskilled - resident,1,none,yes,good
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute Savings account/bonds",24,bank,own,2,skilled employee / official,1,none,yes,good
